asset_id,asset_type,corridor_id,segment_id,graph_start_node,graph_end_node,position_km_on_segment,age_years,condition_score,health_state,electrified_context,gauge_mm,maintenance_interval_days,last_maintenance_date,data_status,source_note
HYD-ASSET-0038,TRACK,HYD-C02,HYD-C02-S009,GN-0042,GN-0063,0.154,10,75,FAIR,True,1676,180,2026-06-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0039,TRACK,HYD-C02,HYD-C02-S010,GN-0063,GN-0062,0.05,19,53,POOR,True,1676,180,2026-04-19,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0040,TRACK,HYD-C02,HYD-C02-S011,GN-0062,GN-0058,0.464,17,72,FAIR,True,1676,180,2026-05-26,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0041,TRACK,HYD-C02,HYD-C02-S012,GN-0058,GN-0023,0.05,14,83,GOOD,True,1676,180,2025-12-12,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0042,TRACK,HYD-C02,HYD-C02-S013,GN-0023,GN-0022,0.637,11,75,FAIR,True,1676,180,2025-11-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0043,TRACK,HYD-C02,HYD-C02-S013,GN-0023,GN-0022,0.559,12,89,GOOD,True,1676,180,2025-11-20,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0044,TRACK,HYD-C02,HYD-C02-S014,GN-0022,GN-0024,0.05,18,70,FAIR,True,1676,180,2026-07-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0045,OHE,HYD-C02,HYD-C02-S015,GN-0024,GN-0053,0.05,9,83,GOOD,True,1676,240,2026-07-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0046,OHE,HYD-C02,HYD-C02-S016,GN-0053,GN-0052,0.276,15,78,FAIR,True,1676,240,2026-04-07,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0047,TRACK,HYD-C02,HYD-C02-S017,GN-0052,GN-0025,0.26,24,59,POOR,True,1676,180,2026-03-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0048,TRACK,HYD-C02,HYD-C02-S018,GN-0025,GN-0026,0.05,26,33,CRITICAL,True,1676,180,2026-06-28,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0049,TRACK,HYD-C02,HYD-C02-S019,GN-0026,GN-0082,0.898,8,81,GOOD,True,1676,180,2026-07-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0050,SIGNAL,HYD-C02,HYD-C02-S019,GN-0026,GN-0082,0.808,13,84,GOOD,True,1676,365,2025-08-23,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0051,TRACK,HYD-C02,HYD-C02-S020,GN-0082,GN-0061,0.05,27,38,CRITICAL,True,1676,180,2026-03-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0052,TURNOUT,HYD-C02,HYD-C02-S021,GN-0061,GN-0060,0.524,5,84,GOOD,True,1676,120,2026-07-22,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0053,OHE,HYD-C02,HYD-C02-S021,GN-0061,GN-0060,1.337,6,88,GOOD,True,1676,240,2026-05-06,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0054,OHE,HYD-C02,HYD-C02-S022,GN-0060,GN-0224,0.05,10,81,GOOD,True,1676,240,2026-07-23,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0055,TRACK,HYD-C02,HYD-C02-S023,GN-0224,GN-0171,0.051,15,60,FAIR,True,1676,180,2026-06-13,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0056,OHE,HYD-C02,HYD-C02-S024,GN-0171,GN-0190,1.099,10,90,GOOD,True,1676,240,2026-01-12,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0057,TRACK,HYD-C02,HYD-C02-S024,GN-0171,GN-0190,1.088,5,88,GOOD,True,1676,180,2026-02-10,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0058,OHE,HYD-C02,HYD-C02-S024,GN-0171,GN-0190,0.636,6,82,GOOD,True,1676,240,2026-07-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0059,TURNOUT,HYD-C02,HYD-C02-S025,GN-0190,GN-0189,0.05,8,78,FAIR,True,1676,120,2026-03-28,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0060,TURNOUT,HYD-C02,HYD-C02-S026,GN-0189,GN-0181,1.557,15,61,FAIR,True,1676,120,2026-06-19,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0061,SIGNAL,HYD-C02,HYD-C02-S026,GN-0189,GN-0181,0.09,27,47,POOR,True,1676,365,2025-08-06,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0062,TURNOUT,HYD-C02,HYD-C02-S027,GN-0181,GN-0179,0.05,27,38,CRITICAL,True,1676,120,2026-01-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0063,OHE,HYD-C02,HYD-C02-S028,GN-0179,GN-0180,0.12,14,76,FAIR,True,1676,240,2025-12-26,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0064,TRACK,HYD-C02,HYD-C02-S029,GN-0180,GN-0182,0.263,28,39,CRITICAL,True,1676,180,2026-05-12,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0065,TRACK,HYD-C02,HYD-C02-S029,GN-0180,GN-0182,0.385,10,78,FAIR,True,1676,180,2025-12-01,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0066,TRACK,HYD-C02,HYD-C02-S030,GN-0182,GN-0183,0.136,28,39,CRITICAL,True,1676,180,2026-04-07,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0067,TRACK,HYD-C02,HYD-C02-S031,GN-0183,GN-0185,0.05,10,90,GOOD,True,1676,180,2026-03-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0068,TRACK,HYD-C02,HYD-C02-S032,GN-0185,GN-0188,0.17,18,70,FAIR,True,1676,180,2026-01-07,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0069,TRACK,HYD-C02,HYD-C02-S033,GN-0188,GN-0186,0.05,27,47,POOR,True,1676,180,2026-07-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0070,TURNOUT,HYD-C02,HYD-C02-S034,GN-0186,GN-0064,0.243,12,71,FAIR,True,1676,120,2026-06-03,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0071,TRACK,HYD-C02,HYD-C02-S035,GN-0064,GN-0057,0.05,23,63,FAIR,True,1676,180,2026-06-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0072,TRACK,HYD-C02,HYD-C02-S036,GN-0057,GN-0104,1.019,23,45,POOR,True,1676,180,2026-03-17,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0073,TRACK,HYD-C02,HYD-C02-S036,GN-0057,GN-0104,0.381,28,61,FAIR,True,1676,180,2026-03-07,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0074,TRACK,HYD-C02,HYD-C02-S037,GN-0104,GN-0105,0.443,16,75,FAIR,True,1676,180,2026-05-24,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0075,OHE,HYD-C02,HYD-C02-S038,GN-0105,GN-0081,0.349,11,81,GOOD,True,1676,240,2026-04-20,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0076,OHE,HYD-C02,HYD-C02-S038,GN-0105,GN-0081,0.128,9,76,FAIR,True,1676,240,2026-04-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0077,DRAINAGE,HYD-C02,HYD-C02-S038,GN-0105,GN-0081,1.508,21,48,POOR,True,1676,365,2025-05-22,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0078,OHE,HYD-C03,HYD-C03-S001,GN-0095,GN-0096,0.179,8,87,GOOD,True,1676,240,2026-04-16,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0079,TRACK,HYD-C03,HYD-C03-S002,GN-0096,GN-0007,0.05,24,61,FAIR,True,1676,180,2026-04-28,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0080,TRACK,HYD-C03,HYD-C03-S003,GN-0007,GN-0155,0.056,24,48,POOR,True,1676,180,2026-06-17,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0081,TRACK,HYD-C03,HYD-C03-S004,GN-0155,GN-0109,0.317,27,58,POOR,True,1676,180,2026-03-09,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0082,DRAINAGE,HYD-C03,HYD-C03-S005,GN-0109,GN-0012,0.05,16,76,FAIR,True,1676,365,2025-05-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0083,TRACK,HYD-C03,HYD-C03-S006,GN-0012,GN-0013,0.05,7,92,GOOD,True,1676,180,2026-04-14,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0084,SIGNAL,HYD-C03,HYD-C03-S007,GN-0013,GN-0194,1.976,10,87,GOOD,True,1676,365,2026-04-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0085,TRACK,HYD-C03,HYD-C03-S007,GN-0013,GN-0194,1.13,4,90,GOOD,True,1676,180,2026-03-08,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0086,TURNOUT,HYD-C03,HYD-C03-S007,GN-0013,GN-0194,1.572,4,92,GOOD,True,1676,120,2026-07-10,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0087,OHE,HYD-C03,HYD-C03-S008,GN-0194,GN-0195,0.05,4,94,GOOD,True,1676,240,2026-01-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0088,TRACK,HYD-C03,HYD-C03-S009,GN-0195,GN-0197,3.479,28,42,POOR,True,1676,180,2026-02-05,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0089,TRACK,HYD-C03,HYD-C03-S009,GN-0195,GN-0197,3.465,13,82,GOOD,True,1676,180,2026-01-16,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0090,TRACK,HYD-C03,HYD-C03-S009,GN-0195,GN-0197,2.004,25,51,POOR,True,1676,180,2026-04-01,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0091,TRACK,HYD-C03,HYD-C03-S010,GN-0197,GN-0014,0.05,2,98,GOOD,True,1676,180,2025-12-22,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0092,TURNOUT,HYD-C03,HYD-C03-S011,GN-0014,GN-0015,2.88,21,64,FAIR,True,1676,120,2026-03-02,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0093,TRACK,HYD-C03,HYD-C03-S011,GN-0014,GN-0015,0.919,22,66,FAIR,True,1676,180,2026-04-07,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0094,TRACK,HYD-C03,HYD-C03-S011,GN-0014,GN-0015,3.689,8,87,GOOD,True,1676,180,2026-02-05,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0095,TRACK,HYD-C03,HYD-C03-S012,GN-0015,GN-0198,0.05,28,44,POOR,True,1676,180,2025-11-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0096,TRACK,HYD-C03,HYD-C03-S013,GN-0198,GN-0069,1.857,13,73,FAIR,True,1676,180,2026-07-29,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0097,OHE,HYD-C03,HYD-C03-S013,GN-0198,GN-0069,1.487,9,77,FAIR,True,1676,240,2026-04-18,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0098,TRACK,HYD-C03,HYD-C03-S013,GN-0198,GN-0069,1.126,23,63,FAIR,True,1676,180,2026-04-09,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0099,SIGNAL,HYD-C03,HYD-C03-S014,GN-0069,GN-0067,0.05,7,81,GOOD,True,1676,365,2026-05-27,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0100,DRAINAGE,HYD-C03,HYD-C03-S015,GN-0067,GN-0170,1.844,5,91,GOOD,True,1676,365,2025-05-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0101,DRAINAGE,HYD-C03,HYD-C03-S015,GN-0067,GN-0170,0.287,14,66,FAIR,True,1676,365,2025-08-30,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0102,SIGNAL,HYD-C03,HYD-C03-S015,GN-0067,GN-0170,2.699,9,87,GOOD,True,1676,365,2025-10-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0103,SIGNAL,HYD-C03,HYD-C03-S016,GN-0170,GN-0176,0.05,27,31,CRITICAL,True,1676,365,2026-01-11,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0104,OHE,HYD-C03,HYD-C03-S017,GN-0176,GN-0177,0.05,4,94,GOOD,True,1676,240,2026-01-15,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
HYD-ASSET-0105,SIGNAL,HYD-C03,HYD-C03-S018,GN-0177,GN-0178,0.197,5,94,GOOD,True,1676,365,2025-06-20,SYNTHETIC,Generated by HYDRA for simulation; not an official railway asset record.
