segment_id,corridor_id,sequence,start_graph_node,end_graph_node,length_km,cumulative_start_km,cumulative_end_km,edge_id,usage,service,gauge,electrified,voltage
HYD-C02-S020,HYD-C02,20,GN-0082,GN-0061,0.023,6.247,6.27,OSM-E0071,main,,1676.0,contact_line,25000.0
HYD-C02-S021,HYD-C02,21,GN-0061,GN-0060,1.893,6.27,8.163,OSM-E0046,main,,1676.0,contact_line,25000.0
HYD-C02-S022,HYD-C02,22,GN-0060,GN-0224,0.034,8.163,8.197,OSM-E0322,main,,1676.0,contact_line,25000.0
HYD-C02-S023,HYD-C02,23,GN-0224,GN-0171,0.313,8.197,8.51,OSM-E0310,main,,1676.0,contact_line,25000.0
HYD-C02-S024,HYD-C02,24,GN-0171,GN-0190,2.002,8.51,10.512,OSM-E0313,main,,1676.0,contact_line,25000.0
HYD-C02-S025,HYD-C02,25,GN-0190,GN-0189,0.027,10.512,10.539,OSM-E0214,main,,1676.0,contact_line,25000.0
HYD-C02-S026,HYD-C02,26,GN-0189,GN-0181,1.728,10.539,12.267,OSM-E0213,main,,1676.0,contact_line,25000.0
HYD-C02-S027,HYD-C02,27,GN-0181,GN-0179,0.018,12.267,12.285,OSM-E0197,main,,1676.0,contact_line,25000.0
HYD-C02-S028,HYD-C02,28,GN-0179,GN-0180,0.415,12.285,12.7,OSM-E0198,main,,1676.0,contact_line,25000.0
HYD-C02-S029,HYD-C02,29,GN-0180,GN-0182,1.054,12.7,13.754,OSM-E0202,main,,1676.0,contact_line,25000.0
HYD-C02-S030,HYD-C02,30,GN-0182,GN-0183,0.842,13.754,14.596,OSM-E0204,main,,1676.0,contact_line,25000.0
HYD-C02-S031,HYD-C02,31,GN-0183,GN-0185,0.013,14.596,14.609,OSM-E0207,main,,1676.0,contact_line,25000.0
HYD-C02-S032,HYD-C02,32,GN-0185,GN-0188,0.571,14.609,15.18,OSM-E0341,main,,1676.0,contact_line,25000.0
HYD-C02-S033,HYD-C02,33,GN-0188,GN-0186,0.026,15.18,15.206,OSM-E0342,main,,1676.0,contact_line,25000.0
HYD-C02-S034,HYD-C02,34,GN-0186,GN-0064,0.368,15.206,15.574,OSM-E0343,main,,1676.0,contact_line,25000.0
HYD-C02-S035,HYD-C02,35,GN-0064,GN-0057,0.016,15.574,15.59,OSM-E0050,main,,1676.0,contact_line,25000.0
HYD-C02-S036,HYD-C02,36,GN-0057,GN-0104,1.675,15.59,17.265,OSM-E0139,main,,1676.0,contact_line,25000.0
HYD-C02-S037,HYD-C02,37,GN-0104,GN-0105,0.93,17.265,18.195,OSM-E0138,main,,1676.0,contact_line,25000.0
HYD-C02-S038,HYD-C02,38,GN-0105,GN-0081,3.301,18.195,21.496,OSM-E0097,main,,1676.0,contact_line,25000.0
HYD-C03-S001,HYD-C03,1,GN-0095,GN-0096,0.361,0.0,0.361,OSM-E0086,main,,1676.0,contact_line,25000.0
HYD-C03-S002,HYD-C03,2,GN-0096,GN-0007,0.055,0.361,0.416,OSM-E0265,main,,1676.0,contact_line,25000.0
HYD-C03-S003,HYD-C03,3,GN-0007,GN-0155,0.11,0.416,0.526,OSM-E0149,main,,1676.0,contact_line,25000.0
HYD-C03-S004,HYD-C03,4,GN-0155,GN-0109,0.37,0.526,0.896,OSM-E0158,main,,1676.0,contact_line,25000.0
HYD-C03-S005,HYD-C03,5,GN-0109,GN-0012,0.083,0.896,0.979,OSM-E0096,main,,1676.0,contact_line,25000.0
HYD-C03-S006,HYD-C03,6,GN-0012,GN-0013,0.057,0.979,1.036,OSM-E0038,main,,1676.0,contact_line,25000.0
HYD-C03-S007,HYD-C03,7,GN-0013,GN-0194,4.074,1.036,5.11,OSM-E0226,main,,1676.0,contact_line,25000.0
HYD-C03-S008,HYD-C03,8,GN-0194,GN-0195,0.033,5.11,5.143,OSM-E0225,main,,1676.0,contact_line,25000.0
HYD-C03-S009,HYD-C03,9,GN-0195,GN-0197,4.102,5.143,9.245,OSM-E0232,main,,1676.0,contact_line,25000.0
HYD-C03-S010,HYD-C03,10,GN-0197,GN-0014,0.013,9.245,9.258,OSM-E0235,main,,1676.0,contact_line,25000.0
HYD-C03-S011,HYD-C03,11,GN-0014,GN-0015,4.881,9.258,14.139,OSM-E0115,main,,1676.0,contact_line,25000.0
HYD-C03-S012,HYD-C03,12,GN-0015,GN-0198,0.018,14.139,14.157,OSM-E0241,main,,1676.0,contact_line,25000.0
HYD-C03-S013,HYD-C03,13,GN-0198,GN-0069,2.413,14.157,16.57,OSM-E0242,main,,1676.0,contact_line,25000.0
HYD-C03-S014,HYD-C03,14,GN-0069,GN-0067,0.03,16.57,16.6,OSM-E0175,main,,1676.0,contact_line,25000.0
HYD-C03-S015,HYD-C03,15,GN-0067,GN-0170,3.215,16.6,19.815,OSM-E0178,main,,1676.0,contact_line,25000.0
HYD-C03-S016,HYD-C03,16,GN-0170,GN-0176,0.078,19.815,19.893,OSM-E0193,main,,1676.0,contact_line,25000.0
HYD-C03-S017,HYD-C03,17,GN-0176,GN-0177,0.05,19.893,19.943,OSM-E0324,main,,1676.0,contact_line,25000.0
HYD-C03-S018,HYD-C03,18,GN-0177,GN-0178,0.332,19.943,20.275,OSM-E0194,main,,1676.0,contact_line,25000.0
